Concept,FHIR Imaging Study Manifest,DICOM KOS Manifest
Study Instance UID,MadoImagingStudy.identifier[study-instance-uid],"Study Instance UID (0020,000D)
Referenced Request Macro (0040.A370) -> Study Instance UID (0020,000D)"
Study Modalities,MadoImagingStudy.modality,"SR: EV(111028,DCM,""Image Library"") -> EV(121139, DCM, ""Modality"")"
Study Started,MadoImagingStudy.started,"Study Date (0008,0020) & Study Time (008,0030)
SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV(111060,DCM,""Study Date"") & EV (111060,DCM,""Study Time"")"
Study anatomicalRegion,MadoImagingStudy.extension[anatomical-region],"SR: EV(111028,DCM,""Image Library"") -> EV(123014, DCM, ""Target Region"")"
Study procedureCodes,MadoImagingStudy.procedureCode,"SR: EV(121023,DCM,""ProcedureCode"")"
Study description,MadoImagingStudy.description,"Study Description (0008,1030)"
Study numberOfSeries,MadoImagingStudy.numberOfSeries,"SR: EV(111028,DCM,""Image Library"") -> EV (131565, DCM, ""Number of Study Related Series"")"
Study display endpoint,MadoImagingStudy.endpoint -> MadoWebViewerEndpoint.address,"CurrentRequestedProcedureEvidenceSequence (0040,8375) -> DisplayURI (0040,E012)"
Study series,MadoImagingStudy.series,"SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"")"
Study series.seriesUid,MadoImagingStudy.series.uid,"SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV(112002, DCM, ""Series Instance UID"")"
Study series.number,MadoImagingStudy.series.number,"SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (113607, DCM, ""Series Number"")"
Study series.seriesModality,MadoImagingStudy.series.modality,"SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (121139, DCM, ""Modality"")"
Study series.description,MadoImagingStudy.series.description,"SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (131563, DCM, ""Series Description"")"
Study series.started,MadoImagingStudy.series.started,"SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (131561, DCM, ""Series Date"") & EV (131562, DCM, ""Series Time"")"
Study series.numberOfInstances,MadoImagingStudy.series.numberOfInstances,"SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (131564, DCM, ""Number of Series Related Instances"")"
Study series.bodySite,MadoImagingStudy.series.bodySite,"SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (123014, DCM, ""Target Region"")"
Study series.laterality,MadoImagingStudy.series.laterality,"SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (111027, DCM, ""Image Laterality"")"
Study series.seriesRetrieveEndpoint.retrieveUrl,MadoImagingStudy.series.endpoint -> MadoWadoEndpoint.address,"CurrentRequestedProcedureEvidenceSequence (0040,8375) -> ReferencedSeriesSequence (0008,1115) -> Retrieve Url (0008,1190)"
