EHDSAddress; ; 0..*; EHDS refined base model for Address structure; ;   ; Address model 
EHDSAddress; use; 0..1; Purpose of the address; CodeableConcept; HL7 AddressUse (preferred)  ; Purpose of the address 
EHDSAddress; type; 0..1; Distinguishes between physical addresses (those you can visit) and mailing addresses (e.g. PO Boxes and care-of addresses). Most addresses are both.; CodeableConcept; HL7 AddressType (preferred)  ; Distinguishes between physical addresses (those you can visit) and mailing addresses (e.g. PO Boxes and care-of addresses). Most addresses are both. 
EHDSAddress; text; 0..1; Text representation of the address; string;   ; Text representation of the address 
EHDSAddress; street; 0..1; Name of the street; string;   ; Name of the street 
EHDSAddress; houseNumber; 0..1; House number; string;   ; House number 
EHDSAddress; postBox; 0..1; Post box; string;   ; Post box 
EHDSAddress; city; 0..1; City; string;   ; City 
EHDSAddress; postalCode; 0..1; Postal code; string;   ; Postal code 
EHDSAddress; country; 0..1; Country name and country code; CodeableConcept; ISO 3166-1 alpha-2 (preferred)  ; Country name and country code 
EHDSAdministeredDosage; ; 0..*; Model contains elements needed for registering an individual medication administration. It is derived from the full dosage regimen model in order to keep the consistency between the shared elements.; ;   ; Administered dosage model 
EHDSAdministeredDosage; renderedDosageInstruction; 0..1; Full dosage information as human-readable text covering all dosage steps. Generating the text follows local rules and should include all locally implemented dosage data even when such elements are not present in this model.; string;   ; Full dosage information as human-readable text covering all dosage steps. Generating the text follows local rules and should include all locally implemented dosage data even when such elements are not present in this model. 
EHDSAdministeredDosage; dosageDetails; 0..1; Details of single dosage scheme step; Base;   ; Details of single dosage scheme step 
EHDSAdministeredDosage; dosageDetails.sequence; 0..0; Order of the dosage instruction, in case one treatment consists of several dosage steps. When two schemes share the same sequence number, they are meant to be running in parallel.; integer;   ; Order of the dosage instruction, in case one treatment consists of several dosage steps. When two schemes share the same sequence number, they are meant to be running in parallel. 
EHDSAdministeredDosage; dosageDetails.note; 0..1; Patient oriented instructions as free text for this dosage step; string;   ; Patient oriented instructions as free text for this dosage step 
EHDSAdministeredDosage; dosageDetails.doseAndRate; 0..*; Amount of medication administered per one dose (= one timing); Base;   ; Amount of medication administered per one dose (= one timing) 
EHDSAdministeredDosage; dosageDetails.doseAndRate.dose[x]; 0..1; Amount of medication per one dose. (1 tablet, 2-3 tablets, 20ml); Quantity; UCUM (units of measurement), EDQM Standard Terms (units of presentation) (preferred)  ; Amount of medication per one dose. (1 tablet, 2-3 tablets, 20ml) 
EHDSAdministeredDosage; dosageDetails.doseAndRate.dose[x]; 0..1; Amount of medication per one dose. (1 tablet, 2-3 tablets, 20ml); Range; UCUM (units of measurement), EDQM Standard Terms (units of presentation) (preferred)  ; Amount of medication per one dose. (1 tablet, 2-3 tablets, 20ml) 
EHDSAdministeredDosage; dosageDetails.doseAndRate.rate[x]; 0..1; Amount of medication per time period (e.g. 100mg per 1 hour). When rate is provided per 1 time unit, Quantity data type can be used with a suitable unit (e.g. mg/h, ug/min).; Quantity; UCUM (units of measurement), EDQM Standard Terms (units of presentation) (preferred)  ; Amount of medication per time period (e.g. 100mg per 1 hour). When rate is provided per 1 time unit, Quantity data type can be used with a suitable unit (e.g. mg/h, ug/min). 
EHDSAdministeredDosage; dosageDetails.doseAndRate.rate[x]; 0..1; Amount of medication per time period (e.g. 100mg per 1 hour). When rate is provided per 1 time unit, Quantity data type can be used with a suitable unit (e.g. mg/h, ug/min).; Ratio; UCUM (units of measurement), EDQM Standard Terms (units of presentation) (preferred)  ; Amount of medication per time period (e.g. 100mg per 1 hour). When rate is provided per 1 time unit, Quantity data type can be used with a suitable unit (e.g. mg/h, ug/min). 
EHDSAdministeredDosage; dosageDetails.repeat; 0..0; Repetition of the administration.; Base;   ; Repetition of the administration. 
EHDSAdministeredDosage; dosageDetails.repeat.bounds[x]; 0..1; Time bounds for the treatment (current dosage scheme), Quantity contains a number of time units (e.g 10 days), Period contains start and end date (e.g. 05.08.2023 - 10.08.2023).; Quantity; UCUM (preferred)  ; Time bounds for the treatment (current dosage scheme), Quantity contains a number of time units (e.g 10 days), Period contains start and end date (e.g. 05.08.2023 - 10.08.2023). 
EHDSAdministeredDosage; dosageDetails.repeat.bounds[x]; 0..1; Time bounds for the treatment (current dosage scheme), Quantity contains a number of time units (e.g 10 days), Period contains start and end date (e.g. 05.08.2023 - 10.08.2023).; Period; UCUM (preferred)  ; Time bounds for the treatment (current dosage scheme), Quantity contains a number of time units (e.g 10 days), Period contains start and end date (e.g. 05.08.2023 - 10.08.2023). 
EHDSAdministeredDosage; dosageDetails.repeat.duration; 0..1; Duration of administration (e.g '5 minutes', '1 hour'); Quantity; UCUM (preferred)  ; Duration of administration (e.g '5 minutes', '1 hour') 
EHDSAdministeredDosage; dosageDetails.repeat.frequency; 0..1; Frequency of intake/administration (e.g 'three times a day'); Base;   ; Frequency of intake/administration (e.g 'three times a day') 
